,League,Date,Home,Away,Goals_H_FT,Goals_A_FT,Result_FT,Odds_H,Odds_D,Odds_A,Pontos_H,Pontos_A,Total_Goals_FT,Over05_FT,Over15_FT,Over25_FT,Under25_FT,BTTS,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_BTTS_Home,Porc_BTTS_Away,Media_Pontos_H,Media_Pontos_A,Media_Gols_Feitos_Home,Media_Gols_Sofridos_Home,Media_Gols_Feitos_Away,Media_Gols_Sofridos_Away
47,Inglaterra 1,31/08/2022,West Ham,Tottenham,1,1,D,3.6,3.8,1.95,1,1,2,1,1,0,1,1,100.0,100.0,100.0,100.0,0.0,33.33333333333333,33.33333333333333,66.66666666666666,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0
48,Inglaterra 1,31/08/2022,Liverpool,Newcastle,2,1,H,1.33,5.25,9.0,3,0,3,1,1,1,0,1,100.0,66.66666666666666,100.0,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,2.3333333333333335,0.6666666666666666,4.0,0.6666666666666666,0.6666666666666666,1.0
49,Inglaterra 1,01/09/2022,Leicester,Man United,0,1,A,3.4,3.75,2.05,0,3,1,1,0,0,1,0,100.0,100.0,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333,66.66666666666666,0.0,0.3333333333333333,2.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333
50,Inglaterra 1,03/09/2022,Everton,Liverpool,0,0,D,7.0,4.75,1.4,1,1,0,0,0,0,1,0,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,0.0,66.66666666666666,33.33333333333333,66.66666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
51,Inglaterra 1,03/09/2022,Brentford,Leeds,5,2,H,2.1,3.5,3.4,3,0,7,1,1,1,0,1,100.0,100.0,100.0,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,2.3333333333333335,0.3333333333333333,3.3333333333333335,1.0,1.3333333333333333,2.6666666666666665
52,Inglaterra 1,03/09/2022,Chelsea,West Ham,2,1,H,1.55,4.5,5.5,3,0,3,1,1,1,0,1,100.0,100.0,100.0,33.33333333333333,100.0,33.33333333333333,100.0,33.33333333333333,2.3333333333333335,1.0,2.0,1.3333333333333333,0.6666666666666666,1.0
53,Inglaterra 1,03/09/2022,Newcastle,Crystal Palace,0,0,D,2.0,3.5,3.75,1,1,0,0,0,0,1,0,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0,1.0,1.6666666666666667
54,Inglaterra 1,03/09/2022,Nott'm Forest,Bournemouth,2,3,A,1.95,3.5,3.8,0,3,5,1,1,1,0,1,100.0,100.0,66.66666666666666,100.0,33.33333333333333,100.0,33.33333333333333,33.33333333333333,1.0,1.0,1.0,1.6666666666666667,1.0,5.0
55,Inglaterra 1,03/09/2022,Tottenham,Fulham,2,1,H,1.5,4.5,6.5,3,0,3,1,1,1,0,1,100.0,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,3.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.3333333333333333
56,Inglaterra 1,03/09/2022,Wolves,Southampton,1,0,H,2.2,3.4,3.25,3,0,1,1,0,0,1,0,66.66666666666666,100.0,33.33333333333333,66.66666666666666,0.0,66.66666666666666,33.33333333333333,66.66666666666666,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,1.0,2.0
